timestamp,ip,method,url,status,size,threat_severity,prediction,probability_score,threat_type,details,country,city,latitude,longitude
21/May/2026:11:39:58 +0000,82.102.23.45,GET,"/api/users?id=1%20UNION%20SELECT%20NULL,username,password%20FROM%20users--",500,557,Critical,Anomaly,0.583,SQL Injection,"Exploit pattern detected in request query path: /api/users?id=1 UNION SELECT NULL,username,password FROM users--",Russia,Moscow,55.75,37.61
21/May/2026:11:40:08 +0000,192.168.1.15,GET,/api/v1/status,200,6554,Low,Normal,0.476,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:40:18 +0000,122.164.48.9,PUT,/favicon.ico,200,13189,Low,Normal,0.4595,Normal,Normal HTTP request flow.,India,Chennai,13.08,80.27
21/May/2026:11:40:28 +0000,203.0.113.88,PUT,/api/v1/metrics,200,18707,Low,Normal,0.49,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:40:38 +0000,203.0.113.88,GET,/blog/posts,200,5493,Low,Normal,0.4667,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:40:48 +0000,192.168.1.15,PUT,/api/v1/status,200,10551,Low,Normal,0.4922,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:40:58 +0000,192.168.1.15,PUT,/api/v1/status,200,8951,Low,Normal,0.4869,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:41:08 +0000,122.164.48.9,GET,/products/items,200,23989,Low,Normal,0.4735,Normal,Normal HTTP request flow.,India,Chennai,13.08,80.27
21/May/2026:11:41:18 +0000,91.220.43.12,GET,/phpmyadmin/index.php,404,1064,Medium,Anomaly,0.4544,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/phpmyadmin/index.php' resulting in HTTP 404.,Ukraine,Kyiv,50.45,30.52
21/May/2026:11:41:28 +0000,122.164.48.9,GET,/favicon.ico,200,20383,Low,Normal,0.4575,Normal,Normal HTTP request flow.,India,Chennai,13.08,80.27
21/May/2026:11:41:38 +0000,81.108.20.11,GET,/contact.html,404,165,Low,Normal,0.4904,Normal,Requested resources not found: /contact.html,United Kingdom,London,51.5,-0.12
21/May/2026:11:41:48 +0000,203.0.113.88,GET,/js/main.js,200,10078,Low,Normal,0.4546,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:41:58 +0000,10.0.0.4,GET,/css/styles.css,200,23150,Low,Normal,0.4455,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:42:08 +0000,192.168.1.15,GET,/blog/posts,404,1256,Low,Normal,0.4752,Normal,Requested resources not found: /blog/posts,Local,Localhost,37.77,-122.41
21/May/2026:11:42:18 +0000,10.0.0.4,GET,/index.html,200,10884,Low,Normal,0.45,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:42:28 +0000,103.22.200.41,GET,/phpmyadmin/index.php,404,210,Medium,Anomaly,0.4835,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/phpmyadmin/index.php' resulting in HTTP 404.,North Korea,Pyongyang,39.03,125.76
21/May/2026:11:42:38 +0000,10.0.0.4,GET,/api/v1/status,200,21127,Low,Normal,0.4809,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:42:48 +0000,192.168.1.15,GET,/products/items,200,13676,Low,Normal,0.4497,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:42:58 +0000,10.0.0.4,GET,/favicon.ico,200,12302,Low,Normal,0.4536,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:43:08 +0000,198.51.100.12,GET,/phpmyadmin/index.php,404,1002,Medium,Anomaly,0.4928,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/phpmyadmin/index.php' resulting in HTTP 404.,China,Beijing,39.9,116.4
21/May/2026:11:43:18 +0000,192.168.1.15,GET,/js/main.js,304,1086,Low,Normal,0.4732,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:43:28 +0000,203.0.113.88,POST,/blog/posts,200,5059,Low,Normal,0.4961,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:43:38 +0000,10.0.0.4,GET,/contact.html,200,3875,Low,Normal,0.4685,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:43:48 +0000,81.108.20.11,GET,/contact.html,200,23161,Low,Normal,0.4753,Normal,Normal HTTP request flow.,United Kingdom,London,51.5,-0.12
21/May/2026:11:43:58 +0000,185.220.101.5,GET,/wp-login.php,404,686,Medium,Anomaly,0.4346,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/wp-login.php' resulting in HTTP 404.,United States,Washington,47.75,-120.74
21/May/2026:11:44:08 +0000,203.0.113.88,GET,/products/items,304,379,Low,Normal,0.4691,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:44:18 +0000,82.102.23.45,POST,/login?user=admin%27%20OR%201=1--,200,20093,Critical,Anomaly,0.4422,SQL Injection,Exploit pattern detected in request query path: /login?user=admin' OR 1=1--,Russia,Moscow,55.75,37.61
21/May/2026:11:44:28 +0000,192.168.1.15,POST,/blog/posts,404,266,Medium,Anomaly,0.5223,ML Anomaly,Requested resources not found: /blog/posts,Local,Localhost,37.77,-122.41
21/May/2026:11:44:38 +0000,122.164.48.9,GET,/api/v1/status,200,14283,Medium,Anomaly,0.5195,ML Anomaly,Normal HTTP request flow.,India,Chennai,13.08,80.27
21/May/2026:11:44:48 +0000,81.108.20.11,GET,/images/logo.png,200,3261,Low,Normal,0.4723,Normal,Normal HTTP request flow.,United Kingdom,London,51.5,-0.12
21/May/2026:11:44:58 +0000,198.51.100.12,GET,/.env,404,1085,Medium,Anomaly,0.4609,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/.env' resulting in HTTP 404.,China,Beijing,39.9,116.4
21/May/2026:11:45:08 +0000,10.0.0.4,GET,/index.html,200,8476,Low,Normal,0.4422,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:45:18 +0000,203.0.113.88,GET,/about.html,200,16312,Low,Normal,0.4476,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:45:28 +0000,190.12.87.54,GET,/about.html,200,11896,Low,Normal,0.4365,Normal,Normal HTTP request flow.,Brazil,Sao Paulo,-23.55,-46.63
21/May/2026:11:45:38 +0000,10.0.0.4,PUT,/products/items,200,3860,Low,Normal,0.4618,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:45:48 +0000,203.0.113.88,GET,/css/styles.css,200,7091,Low,Normal,0.4402,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:45:58 +0000,185.220.101.5,GET,/js/main.js,304,1101,Low,Normal,0.4469,Normal,Normal HTTP request flow.,United States,Washington,47.75,-120.74
21/May/2026:11:46:08 +0000,198.51.100.12,GET,/products/items,200,20142,Low,Normal,0.489,Normal,Normal HTTP request flow.,China,Beijing,39.9,116.4
21/May/2026:11:46:18 +0000,10.0.0.4,GET,/css/styles.css,304,1143,Low,Normal,0.451,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:46:28 +0000,10.0.0.4,GET,/blog/posts,200,14888,Low,Normal,0.4556,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:46:38 +0000,91.220.43.12,GET,/files/download?file=..%2f..%2f..%2fwindows%2fwin.ini,400,422,Critical,Anomaly,0.5467,Directory Traversal / LFI,Exploit pattern detected in request query path: /files/download?file=../../../windows/win.ini,Ukraine,Kyiv,50.45,30.52
21/May/2026:11:46:48 +0000,103.22.200.41,GET,/css/styles.css,404,702,Low,Normal,0.4518,Normal,Requested resources not found: /css/styles.css,North Korea,Pyongyang,39.03,125.76
21/May/2026:11:46:58 +0000,82.102.23.45,GET,/admin,401,318,Medium,Anomaly,0.4207,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/admin' resulting in HTTP 401.,Russia,Moscow,55.75,37.61
21/May/2026:11:47:08 +0000,185.220.101.5,POST,/index.html,200,20891,Low,Normal,0.4873,Normal,Normal HTTP request flow.,United States,Washington,47.75,-120.74
21/May/2026:11:47:18 +0000,122.164.48.9,GET,/index.html,404,1369,Low,Normal,0.4689,Normal,Requested resources not found: /index.html,India,Chennai,13.08,80.27
21/May/2026:11:47:28 +0000,190.12.87.54,GET,/files/download?file=..%2f..%2f..%2fwindows%2fwin.ini,400,586,Critical,Anomaly,0.5533,Directory Traversal / LFI,Exploit pattern detected in request query path: /files/download?file=../../../windows/win.ini,Brazil,Sao Paulo,-23.55,-46.63
21/May/2026:11:47:38 +0000,81.108.20.11,PUT,/about.html,200,13959,Low,Normal,0.4761,Normal,Normal HTTP request flow.,United Kingdom,London,51.5,-0.12
21/May/2026:11:47:48 +0000,89.248.167.15,GET,/admin,401,1370,Medium,Anomaly,0.4355,Web Scanner / Reconnaissance,Scanned restricted or sensitive endpoint '/admin' resulting in HTTP 401.,Netherlands,Amsterdam,52.36,4.9
21/May/2026:11:47:58 +0000,89.248.167.15,GET,/api/v1/metrics,404,1109,Low,Normal,0.4838,Normal,Requested resources not found: /api/v1/metrics,Netherlands,Amsterdam,52.36,4.9
21/May/2026:11:48:08 +0000,10.0.0.4,GET,/api/v1/metrics,200,9297,Low,Normal,0.4818,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:48:18 +0000,190.12.87.54,GET,/index.html,304,271,Low,Normal,0.4413,Normal,Normal HTTP request flow.,Brazil,Sao Paulo,-23.55,-46.63
21/May/2026:11:48:28 +0000,82.102.23.45,GET,/css/styles.css,200,14282,Low,Normal,0.4409,Normal,Normal HTTP request flow.,Russia,Moscow,55.75,37.61
21/May/2026:11:48:38 +0000,81.108.20.11,POST,/products/items,404,351,Low,Normal,0.469,Normal,Requested resources not found: /products/items,United Kingdom,London,51.5,-0.12
21/May/2026:11:48:48 +0000,103.22.200.41,POST,/css/styles.css,200,2060,Low,Normal,0.4782,Normal,Normal HTTP request flow.,North Korea,Pyongyang,39.03,125.76
21/May/2026:11:48:58 +0000,89.248.167.15,GET,/api/ping?host=127.0.0.1;%20whoami,500,830,Medium,Anomaly,0.4804,Server Application Error,Server responded with HTTP 500. Could indicate SQL syntax crashes or system failure.,Netherlands,Amsterdam,52.36,4.9
21/May/2026:11:49:08 +0000,81.108.20.11,PUT,/about.html,200,1590,Low,Normal,0.47,Normal,Normal HTTP request flow.,United Kingdom,London,51.5,-0.12
21/May/2026:11:49:18 +0000,203.0.113.88,POST,/js/main.js,304,846,Low,Normal,0.4536,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:49:28 +0000,192.168.1.15,GET,/blog/posts,200,3174,Low,Normal,0.498,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:49:38 +0000,10.0.0.4,GET,/images/logo.png,200,6159,Medium,Anomaly,0.501,ML Anomaly,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:49:48 +0000,192.168.1.15,PUT,/products/items,200,24849,Low,Normal,0.4789,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:49:58 +0000,185.220.101.5,GET,/static/../../etc/passwd,400,683,Critical,Anomaly,0.4832,Directory Traversal / LFI,Exploit pattern detected in request query path: /static/../../etc/passwd,United States,Washington,47.75,-120.74
21/May/2026:11:50:08 +0000,203.0.113.88,GET,/api/v1/status,200,18544,Low,Normal,0.4735,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:50:18 +0000,122.164.48.9,POST,/about.html,404,1499,Low,Normal,0.4702,Normal,Requested resources not found: /about.html,India,Chennai,13.08,80.27
21/May/2026:11:50:28 +0000,203.0.113.88,GET,/api/v1/status,304,720,Low,Normal,0.4722,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:50:38 +0000,10.0.0.4,GET,/index.html,200,23760,Low,Normal,0.4452,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
21/May/2026:11:50:48 +0000,81.108.20.11,GET,/js/main.js,200,15987,Low,Normal,0.4589,Normal,Normal HTTP request flow.,United Kingdom,London,51.5,-0.12
21/May/2026:11:50:58 +0000,203.0.113.88,GET,/index.html,200,13487,Low,Normal,0.4284,Normal,Normal HTTP request flow.,Australia,Sydney,-33.86,151.2
21/May/2026:11:51:08 +0000,91.220.43.12,GET,/files/download?file=..%2f..%2f..%2fwindows%2fwin.ini,400,622,Critical,Anomaly,0.5629,Directory Traversal / LFI,Exploit pattern detected in request query path: /files/download?file=../../../windows/win.ini,Ukraine,Kyiv,50.45,30.52
21/May/2026:11:51:18 +0000,122.164.48.9,GET,/about.html,200,2332,Low,Normal,0.4652,Normal,Normal HTTP request flow.,India,Chennai,13.08,80.27
21/May/2026:11:51:28 +0000,192.168.1.15,GET,/products/items,200,24671,Low,Normal,0.4776,Normal,Normal HTTP request flow.,Local,Localhost,37.77,-122.41
21/May/2026:11:51:38 +0000,10.0.0.4,PUT,/contact.html,200,5868,Low,Normal,0.4771,Normal,Normal HTTP request flow.,Internal,Intranet,37.77,-122.41
